FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
,,,Austria,2020-04-03 22:46:20,47.5162,14.5501,11524,168,2022,9334,Austria
,,,Azerbaijan,2020-04-03 22:46:20,40.1431,47.5769,443,5,32,406,Azerbaijan
,,,Bahamas,2020-04-03 22:46:20,25.025885,-78.035889,24,1,1,22,Bahamas
,,,Bahrain,2020-04-03 22:46:20,26.0275,50.55,672,4,382,286,Bahrain
,,,Bangladesh,2020-04-03 22:46:20,23.685,90.3563,61,6,26,29,Bangladesh
,,,Barbados,2020-04-03 22:46:20,13.1939,-59.5432,51,0,0,51,Barbados
,,,Belarus,2020-04-03 22:46:20,53.7098,27.9534,351,4,53,294,Belarus
,,,Belgium,2020-04-03 22:46:20,50.8333,4.469936,16770,1143,2872,12755,Belgium
,,,Belize,2020-04-03 22:46:20,17.1899,-88.4976,4,0,0,4,",,Belize"
,,,Benin,2020-04-03 22:46:20,9.3077,2.3158,16,0,2,14,Benin
,,,Bhutan,2020-04-03 22:46:20,27.5142,90.4336,5,0,2,3,Bhutan
,,,Bolivia,2020-04-03 22:46:20,-16.2902,-63.5887,132,9,1,122,Bolivia
,,,Bosnia and Herzegovina,2020-04-03 22:46:20,43.9159,17.6791,579,17,27,535,Bosnia and Herzegovina
,,,Botswana,2020-04-03 22:46:20,-22.3285,24.6849,4,1,0,3,Botswana
,,,Brazil,2020-04-03 22:46:20,-14.235,-51.9253,9056,359,127,8570,Brazil
,,,Brunei,2020-04-03 22:46:20,4.5353,114.7277,134,1,65,68,Brunei
,,,Bulgaria,2020-04-03 22:46:20,42.7339,25.4858,485,14,30,441,Bulgaria
,,,Burkina Faso,2020-04-03 22:46:20,12.2383,-1.5616,302,16,50,236,Burkina Faso
,,,Burma,2020-04-03 22:46:20,21.9162,95.956,20,1,0,19,Burma
,,,Burundi,2020-04-03 22:46:20,-3.3731,29.9189,3,0,0,3,Burundi
,,,Cabo Verde,2020-04-03 22:46:20,16.5388,-23.0418,6,1,0,5,Cabo Verde
,,,Cambodia,2020-04-03 22:46:20,11.55,104.9167,114,0,35,79,Cambodia
,,,Cameroon,2020-04-03 22:46:20,3.848,11.5021,509,8,17,484,Cameroon
,,,Central African Republic,2020-04-03 22:46:20,6.6111,20.9394,8,0,0,8,Central African Republic
,,,Chad,2020-04-03 22:46:20,15.4542,18.7322,8,0,0,8,Chad
,,,Chile,2020-04-03 22:46:20,-35.6751,-71.543,3737,22,427,3288,Chile
,,,Colombia,2020-04-03 22:46:20,4.5709,-74.2973,1267,25,55,1187,Colombia
,,,Congo (Brazzaville),2020-04-03 22:46:20,-4.2634,15.2832,22,2,2,18,Congo (Brazzaville)
,,,Congo (Kinshasa),2020-04-03 22:46:20,-4.322447,15.307045,134,13,3,118,Congo (Kinshasa)
,,,Costa Rica,2020-04-03 22:46:20,9.7489,-83.7534,416,2,11,403,Costa Rica
,,,Cote d'Ivoire,2020-04-03 22:46:20,7.54,-5.5471,218,1,19,198,Cote d'Ivoire
,,,Croatia,2020-04-03 22:46:20,45.1,15.2,1079,8,92,979,Croatia
,,,Cuba,2020-04-03 22:46:20,21.521757,-77.781167,269,6,15,248,Cuba
,,,Cyprus,2020-04-03 22:46:20,35.1264,33.4299,396,11,28,357,Cyprus
,,,Czechia,2020-04-03 22:46:20,49.8175,15.473,4091,53,72,3966,Czechia
